      NO              DATA              UNIT           TIME  
    604               22.8                 C           05-17-12/14:06:57  
    605               22.8                 C           05-17-12/14:06:57  
    606               22.8                 C           05-17-12/14:06:58  
    607               22.3                 C           05-17-12/14:06:58  
    608               22.3                 C           05-17-12/14:06:59  
    609               22.3                 C           05-17-12/14:06:59  
    610               22.0                 C           05-17-12/14:07:00  
    611               22.3                 C           05-17-12/14:07:00  
    612               22.0                 C           05-17-12/14:07:01  
    613               22.0                 C           05-17-12/14:07:01  
    614               22.0                 C           05-17-12/14:07:02  
    615               22.0                 C           05-17-12/14:07:02  
    616               22.0                 C           05-17-12/14:07:03  
    617               22.0                 C           05-17-12/14:07:03  
    618               22.0                 C           05-17-12/14:07:04  
    619               22.0                 C           05-17-12/14:07:04  
    620               21.7                 C           05-17-12/14:07:05  
    621               21.7                 C           05-17-12/14:07:05  
    622               21.7                 C           05-17-12/14:07:06  
    623               21.7                 C           05-17-12/14:07:06  
    624               21.7                 C           05-17-12/14:07:07  
    625               21.7                 C           05-17-12/14:07:07  
    626               21.7                 C           05-17-12/14:07:08  
    627               21.7                 C           05-17-12/14:07:08  
    628               21.7                 C           05-17-12/14:07:09  
    629               21.7                 C           05-17-12/14:07:09  
    630               21.7                 C           05-17-12/14:07:10  
    631               21.7                 C           05-17-12/14:07:10  
    632               21.7                 C           05-17-12/14:07:11  
    633               21.7                 C           05-17-12/14:07:11  
    634               21.7                 C           05-17-12/14:07:12  
    635               21.7                 C           05-17-12/14:07:13  
    636               21.7                 C           05-17-12/14:07:13  
    637               21.5                 C           05-17-12/14:07:13  
    638               21.7                 C           05-17-12/14:07:14  
    639               21.7                 C           05-17-12/14:07:14  
    640               21.7                 C           05-17-12/14:07:15  
    641               21.7                 C           05-17-12/14:07:15  
    642               21.7                 C           05-17-12/14:07:16  
    643               21.7                 C           05-17-12/14:07:16  
    644               21.7                 C           05-17-12/14:07:17  
    645               21.7                 C           05-17-12/14:07:17  
    646               21.7                 C           05-17-12/14:07:18  
    647               21.7                 C           05-17-12/14:07:18  
    648               21.7                 C           05-17-12/14:07:19  
    649               22.0                 C           05-17-12/14:07:19  
    650               22.0                 C           05-17-12/14:07:20  
    651               22.0                 C           05-17-12/14:07:20  
    652               22.0                 C           05-17-12/14:07:21  
    653               22.0                 C           05-17-12/14:07:21  
    654               22.0                 C           05-17-12/14:07:21  
    655               22.0                 C           05-17-12/14:07:22  
    656               22.0                 C           05-17-12/14:07:22  
    657               22.0                 C           05-17-12/14:07:23  
    658               22.3                 C           05-17-12/14:07:23  
    659               22.3                 C           05-17-12/14:07:24  
    660               22.3                 C           05-17-12/14:07:24  
    661               22.3                 C           05-17-12/14:07:25  
    662               22.5                 C           05-17-12/14:07:25  
    663               23.2                 C           05-17-12/14:07:26  
    664               23.2                 C           05-17-12/14:07:26  
    665               23.0                 C           05-17-12/14:07:27  
    666               23.0                 C           05-17-12/14:07:27  
    667               23.0                 C           05-17-12/14:07:28  
    668               23.0                 C           05-17-12/14:07:28  
    669               23.0                 C           05-17-12/14:07:29  
    670               23.0                 C           05-17-12/14:07:29  
    671               23.0                 C           05-17-12/14:07:29  
    672               23.0                 C           05-17-12/14:07:30  
    673               23.0                 C           05-17-12/14:07:30  
    674               23.0                 C           05-17-12/14:07:31  
    675               23.0                 C           05-17-12/14:07:31  
    676               23.0                 C           05-17-12/14:07:32  
    677               23.0                 C           05-17-12/14:07:32  
    678               23.0                 C           05-17-12/14:07:33  
    679               23.0                 C           05-17-12/14:07:33  
    680               23.0                 C           05-17-12/14:07:34  
    681               23.0                 C           05-17-12/14:07:34  
    682               23.0                 C           05-17-12/14:07:35  
    683               23.0                 C           05-17-12/14:07:35  
    684               23.0                 C           05-17-12/14:07:36  
    685               23.0                 C           05-17-12/14:07:36  
    686               23.2                 C           05-17-12/14:07:37  
    687               23.2                 C           05-17-12/14:07:37  
    688               23.0                 C           05-17-12/14:07:38  
    689               23.0                 C           05-17-12/14:07:38  
    690               23.0                 C           05-17-12/14:07:38  
    691               23.0                 C           05-17-12/14:07:39  
    692               23.0                 C           05-17-12/14:07:39  
    693               23.0                 C           05-17-12/14:07:40  
    694               23.0                 C           05-17-12/14:07:40  
    695               23.0                 C           05-17-12/14:07:41  
    696               23.0                 C           05-17-12/14:07:41  
    697               23.0                 C           05-17-12/14:07:42  
    698               23.0                 C           05-17-12/14:07:42  
    699               23.0                 C           05-17-12/14:07:43  
    700               23.0                 C           05-17-12/14:07:43  
    701               22.7                 C           05-17-12/14:07:44  
    702               23.0                 C           05-17-12/14:07:44  
    703               22.8                 C           05-17-12/14:07:45  
    704               22.8                 C           05-17-12/14:07:45  
    705               23.0                 C           05-17-12/14:07:46  
    706               23.0                 C           05-17-12/14:07:46  
    707               22.8                 C           05-17-12/14:07:46  
    708               22.8                 C           05-17-12/14:07:47  
    709               23.0                 C           05-17-12/14:07:47  
    710               23.0                 C           05-17-12/14:07:48  
    711               23.0                 C           05-17-12/14:07:48  
    712               23.0                 C           05-17-12/14:07:49  
    713               23.5                 C           05-17-12/14:07:49  
    714               23.5                 C           05-17-12/14:07:50  
    715               23.2                 C           05-17-12/14:07:50  
    716               23.2                 C           05-17-12/14:07:51  
    717               23.2                 C           05-17-12/14:07:51  
    718               22.0                 C           05-17-12/14:07:52  
    719               22.3                 C           05-17-12/14:07:52  
    720               22.8                 C           05-17-12/14:07:53  
    721               22.0                 C           05-17-12/14:07:53  
    722               22.0                 C           05-17-12/14:07:54  
    723               22.0                 C           05-17-12/14:07:54  
    724               22.0                 C           05-17-12/14:07:54  
    725               22.0                 C           05-17-12/14:07:55  
    726               22.0                 C           05-17-12/14:07:55  
    727               22.0                 C           05-17-12/14:07:56  
    728               22.0                 C           05-17-12/14:07:56  
    729               21.7                 C           05-17-12/14:07:57  
    730               21.7                 C           05-17-12/14:07:57  
    731               21.7                 C           05-17-12/14:07:58  
    732               21.7                 C           05-17-12/14:07:58  
    733               21.7                 C           05-17-12/14:07:59  
    734               21.7                 C           05-17-12/14:07:59  
    735               21.7                 C           05-17-12/14:08:00  
    736               21.7                 C           05-17-12/14:08:00  
    737               21.7                 C           05-17-12/14:08:01  
    738               21.7                 C           05-17-12/14:08:01  
    739               21.7                 C           05-17-12/14:08:02  
    740               21.7                 C           05-17-12/14:08:02  
    741               21.7                 C           05-17-12/14:08:02  
    742               21.7                 C           05-17-12/14:08:03  
    743               21.7                 C           05-17-12/14:08:03  
    744               21.2                 C           05-17-12/14:08:04  
    745               21.5                 C           05-17-12/14:08:04  
    746               21.5                 C           05-17-12/14:08:05  
    747               21.5                 C           05-17-12/14:08:05  
    748               21.5                 C           05-17-12/14:08:06  
    749               21.5                 C           05-17-12/14:08:06  
    750               21.5                 C           05-17-12/14:08:07  
    751               22.0                 C           05-17-12/14:08:07  
    752               21.6                 C           05-17-12/14:08:08  
    753               22.0                 C           05-17-12/14:08:08  
    754               21.6                 C           05-17-12/14:08:09  
    755               21.6                 C           05-17-12/14:08:09  
    756               21.6                 C           05-17-12/14:08:10  
    757               21.8                 C           05-17-12/14:08:10  
    758               21.8                 C           05-17-12/14:08:10  
    759               21.8                 C           05-17-12/14:08:11  
    760               21.8                 C           05-17-12/14:08:11  
    761               21.8                 C           05-17-12/14:08:12  
    762               21.8                 C           05-17-12/14:08:13  
    763               21.8                 C           05-17-12/14:08:13  
    764               21.8                 C           05-17-12/14:08:14  
    765               21.8                 C           05-17-12/14:08:14  
    766               22.0                 C           05-17-12/14:08:15  
    767               22.8                 C           05-17-12/14:08:15  
    768               22.8                 C           05-17-12/14:08:16  
    769               22.8                 C           05-17-12/14:08:16  
    770               23.5                 C           05-17-12/14:08:17  
    771               23.5                 C           05-17-12/14:08:17  
    772               23.2                 C           05-17-12/14:08:18  
    773               23.2                 C           05-17-12/14:08:18  
    774               23.2                 C           05-17-12/14:08:18  
    775               23.2                 C           05-17-12/14:08:19  
    776               23.2                 C           05-17-12/14:08:19  
    777               23.0                 C           05-17-12/14:08:20  
    778               23.0                 C           05-17-12/14:08:20  
    779               23.0                 C           05-17-12/14:08:21  
    780               23.0                 C           05-17-12/14:08:21  
    781               23.0                 C           05-17-12/14:08:22  
    782               23.0                 C           05-17-12/14:08:22  
    783               23.0                 C           05-17-12/14:08:23  
    784               23.0                 C           05-17-12/14:08:23  
    785               23.0                 C           05-17-12/14:08:24  
    786               23.0                 C           05-17-12/14:08:24  
    787               23.0                 C           05-17-12/14:08:25  
    788               23.0                 C           05-17-12/14:08:26  
    789               23.0                 C           05-17-12/14:08:26  
    790               23.0                 C           05-17-12/14:08:27  
    791               23.0                 C           05-17-12/14:08:27  
    792               23.0                 C           05-17-12/14:08:28  
    793               23.0                 C           05-17-12/14:08:28  
    794               23.2                 C           05-17-12/14:08:29  
    795               23.2                 C           05-17-12/14:08:29  
    796               23.2                 C           05-17-12/14:08:30  
    797               23.2                 C           05-17-12/14:08:30  
    798               23.2                 C           05-17-12/14:08:31  
    799               22.8                 C           05-17-12/14:08:32  
    800               22.0                 C           05-17-12/14:08:32  
    801               23.0                 C           05-17-12/14:08:33  
    802               22.6                 C           05-17-12/14:08:33  
    803               22.6                 C           05-17-12/14:08:34  
    804               22.6                 C           05-17-12/14:08:34  
    805               22.6                 C           05-17-12/14:08:35  
    806               22.6                 C           05-17-12/14:08:35  
    807               22.6                 C           05-17-12/14:08:35  
    808               22.6                 C           05-17-12/14:08:36  
    809               23.0                 C           05-17-12/14:08:36  
    810               23.0                 C           05-17-12/14:08:37  
    811               23.0                 C           05-17-12/14:08:37  
    812               23.0                 C           05-17-12/14:08:38  
    813               22.6                 C           05-17-12/14:08:38  
    814               23.0                 C           05-17-12/14:08:39  
    815               23.0                 C           05-17-12/14:08:39  
    816               23.0                 C           05-17-12/14:08:40  
    817               23.0                 C           05-17-12/14:08:40  
    818               23.0                 C           05-17-12/14:08:41  
    819               23.0                 C           05-17-12/14:08:41  
    820               23.0                 C           05-17-12/14:08:42  
    821               23.0                 C           05-17-12/14:08:42  
    822               22.7                 C           05-17-12/14:08:43  
    823               23.0                 C           05-17-12/14:08:43  
    824               22.7                 C           05-17-12/14:08:43  
    825               22.7                 C           05-17-12/14:08:44  
    826               23.0                 C           05-17-12/14:08:44  
    827               22.7                 C           05-17-12/14:08:45  
    828               23.0                 C           05-17-12/14:08:45  
    829               23.0                 C           05-17-12/14:08:46  
    830               22.7                 C           05-17-12/14:08:46  
