      NO              DATA              UNIT           TIME  
    139               28.1                 C           05-17-12/14:03:16  
    140               25.0                 C           05-17-12/14:03:16  
    141               25.0                 C           05-17-12/14:03:16  
    142               25.0                 C           05-17-12/14:03:17  
    143               33.7                 C           05-17-12/14:03:17  
    144               33.7                 C           05-17-12/14:03:18  
    145               33.7                 C           05-17-12/14:03:18  
    146               33.7                 C           05-17-12/14:03:19  
    147               33.3                 C           05-17-12/14:03:19  
    148               33.3                 C           05-17-12/14:03:20  
    149               33.3                 C           05-17-12/14:03:20  
    150               33.0                 C           05-17-12/14:03:21  
    151               33.0                 C           05-17-12/14:03:21  
    152               33.0                 C           05-17-12/14:03:22  
    153               33.0                 C           05-17-12/14:03:22  
    154               33.0                 C           05-17-12/14:03:23  
    155               33.0                 C           05-17-12/14:03:23  
    156               33.0                 C           05-17-12/14:03:24  
    157               33.0                 C           05-17-12/14:03:24  
    158               33.0                 C           05-17-12/14:03:24  
    159               32.7                 C           05-17-12/14:03:25  
    160               32.7                 C           05-17-12/14:03:25  
    161               32.7                 C           05-17-12/14:03:26  
    162               32.3                 C           05-17-12/14:03:26  
    163               32.3                 C           05-17-12/14:03:27  
    164               32.3                 C           05-17-12/14:03:27  
    165               33.0                 C           05-17-12/14:03:28  
    166               33.0                 C           05-17-12/14:03:28  
    167               33.8                 C           05-17-12/14:03:29  
    168               34.2                 C           05-17-12/14:03:29  
    169               34.2                 C           05-17-12/14:03:30  
    170               34.0                 C           05-17-12/14:03:30  
    171               34.0                 C           05-17-12/14:03:31  
    172               33.5                 C           05-17-12/14:03:31  
    173               33.0                 C           05-17-12/14:03:32  
    174               33.0                 C           05-17-12/14:03:32  
    175               32.5                 C           05-17-12/14:03:33  
    176               32.2                 C           05-17-12/14:03:33  
    177               30.0                 C           05-17-12/14:03:34  
    178               30.0                 C           05-17-12/14:03:34  
    179               26.6                 C           05-17-12/14:03:35  
    180               26.6                 C           05-17-12/14:03:35  
    181               26.1                 C           05-17-12/14:03:36  
    182               22.6                 C           05-17-12/14:03:36  
    183               22.6                 C           05-17-12/14:03:37  
    184               22.6                 C           05-17-12/14:03:37  
    185               22.6                 C           05-17-12/14:03:38  
    186               22.6                 C           05-17-12/14:03:38  
    187               22.6                 C           05-17-12/14:03:39  
    188               22.6                 C           05-17-12/14:03:39  
    189               22.6                 C           05-17-12/14:03:40  
    190               22.3                 C           05-17-12/14:03:40  
    191               22.3                 C           05-17-12/14:03:40  
    192               22.3                 C           05-17-12/14:03:41  
    193               22.3                 C           05-17-12/14:03:41  
    194               22.6                 C           05-17-12/14:03:42  
    195               22.6                 C           05-17-12/14:03:42  
    196               22.6                 C           05-17-12/14:03:43  
    197               22.6                 C           05-17-12/14:03:43  
    198               22.6                 C           05-17-12/14:03:44  
    199               22.6                 C           05-17-12/14:03:44  
    200               22.6                 C           05-17-12/14:03:45  
    201               22.3                 C           05-17-12/14:03:45  
    202               22.3                 C           05-17-12/14:03:46  
    203               22.3                 C           05-17-12/14:03:46  
    204               22.3                 C           05-17-12/14:03:47  
    205               22.3                 C           05-17-12/14:03:47  
    206               22.3                 C           05-17-12/14:03:48  
    207               22.6                 C           05-17-12/14:03:48  
    208               22.6                 C           05-17-12/14:03:49  
    209               23.2                 C           05-17-12/14:03:49  
    210               23.2                 C           05-17-12/14:03:49  
    211               26.2                 C           05-17-12/14:03:50  
    212               27.5                 C           05-17-12/14:03:50  
    213               27.5                 C           05-17-12/14:03:51  
    214               30.2                 C           05-17-12/14:03:51  
    215               30.2                 C           05-17-12/14:03:52  
    216               31.3                 C           05-17-12/14:03:52  
    217               33.1                 C           05-17-12/14:03:53  
    218               33.1                 C           05-17-12/14:03:53  
    219               33.1                 C           05-17-12/14:03:54  
